iter	Passed	Remaining
0	9	9464
1	19	9690
2	29	9887
3	40	9960
4	50	10077
5	59	9912
6	68	9701
7	80	9982
8	90	9932
9	102	10131
10	129	11679
11	143	11844
12	151	11499
13	161	11366
14	170	11187
15	180	11109
16	191	11085
17	202	11031
18	220	11369
19	230	11272
20	243	11345
21	253	11257
22	263	11193
23	275	11194
24	285	11130
25	296	11092
26	307	11074
27	315	10968
28	326	10923
29	339	10978
30	350	10966
31	360	10892
32	372	10903
33	386	10976
34	396	10928
35	406	10896
36	418	10892
37	428	10844
38	438	10800
39	447	10742
40	457	10699
41	472	10784
42	484	10789
43	496	10777
44	509	10802
45	530	11011
46	543	11023
47	555	11008
48	565	10983
49	580	11032
50	594	11057
51	611	11145
52	621	11105
53	631	11058
54	642	11040
55	654	11030
56	663	10984
57	680	11045
58	691	11034
59	710	11125
60	731	11259
61	748	11322
62	765	11378
63	779	11401
64	791	11379
65	803	11369
66	813	11331
67	824	11297
68	834	11261
69	844	11224
70	858	11238
71	869	11207
72	879	11169
73	891	11160
74	902	11133
75	911	11085
76	923	11069
77	934	11051
78	943	11003
79	954	10978
80	965	10959
81	976	10927
82	990	10943
83	1000	10905
84	1009	10864
85	1022	10868
86	1032	10835
87	1042	10803
88	1052	10777
89	1065	10777
90	1075	10746
91	1088	10739
92	1098	10715
93	1109	10693
94	1121	10688
95	1135	10697
96	1148	10690
97	1162	10698
98	1172	10668
99	1183	10651
100	1196	10650
101	1210	10655
102	1220	10629
103	1231	10611
104	1243	10596
105	1253	10567
106	1267	10578
107	1279	10563
108	1289	10536
109	1299	10511
110	1318	10557
111	1330	10546
112	1341	10529
113	1352	10508
114	1363	10489
115	1373	10466
116	1382	10436
117	1394	10422
118	1407	10423
119	1418	10400
120	1427	10372
121	1439	10358
122	1454	10368
123	1464	10347
124	1475	10325
125	1487	10314
126	1501	10320
127	1510	10291
128	1522	10282
129	1544	10338
130	1556	10326
131	1570	10325
132	1583	10324
133	1594	10302
134	1606	10294
135	1614	10259
136	1625	10239
137	1639	10243
138	1653	10239
139	1664	10223
140	1674	10201
141	1689	10208
142	1701	10196
143	1712	10177
144	1721	10151
145	1736	10158
146	1748	10146
147	1758	10121
148	1770	10109
149	1782	10101
150	1793	10083
151	1804	10067
152	1815	10048
153	1834	10076
154	1844	10056
155	1856	10044
156	1867	10025
157	1878	10012
158	1890	9999
159	1902	9990
160	1913	9970
161	1925	9962
162	1935	9938
163	1950	9942
164	1961	9927
165	1971	9902
166	1980	9877
167	1991	9860
168	2000	9838
169	2028	9902
170	2039	9885
171	2050	9869
172	2078	9935
173	2087	9910
174	2097	9887
175	2107	9866
176	2120	9859
177	2128	9831
178	2139	9813
179	2149	9791
180	2161	9779
181	2173	9769
182	2184	9753
183	2194	9731
184	2205	9715
185	2219	9713
186	2229	9692
187	2238	9670
188	2251	9661
189	2263	9651
190	2272	9627
191	2284	9615
192	2296	9600
193	2304	9573
194	2330	9620
195	2339	9595
196	2352	9590
197	2363	9573
198	2374	9556
199	2385	9541
200	2397	9530
201	2407	9510
202	2418	9494
203	2429	9480
204	2438	9458
205	2450	9444
206	2461	9428
207	2474	9421
208	2484	9403
209	2494	9383
210	2504	9364
211	2514	9346
212	2527	9339
213	2538	9322
214	2548	9305
215	2558	9288
216	2570	9273
217	2580	9258
218	2592	9244
219	2604	9235
220	2614	9217
221	2627	9206
222	2638	9193
223	2648	9176
224	2661	9168
225	2674	9160
226	2685	9145
227	2694	9123
228	2706	9113
229	2716	9095
230	2730	9088
231	2741	9076
232	2755	9069
233	2766	9055
234	2778	9043
235	2791	9036
236	2803	9026
237	2813	9007
238	2826	8999
239	2839	8992
240	2850	8975
241	2859	8955
242	2871	8944
243	2881	8927
244	2892	8913
245	2903	8897
246	2912	8877
247	2923	8866
248	2937	8859
249	2946	8840
250	2957	8824
251	2969	8815
252	2985	8814
253	2996	8800
254	3011	8797
255	3021	8782
256	3034	8772
257	3046	8760
258	3055	8741
259	3067	8731
260	3078	8716
261	3090	8706
262	3101	8691
263	3114	8681
264	3126	8672
265	3137	8657
266	3149	8646
267	3159	8629
268	3169	8614
269	3181	8600
270	3191	8586
271	3202	8572
272	3215	8562
273	3228	8553
274	3238	8537
275	3248	8521
276	3261	8513
277	3274	8503
278	3283	8486
279	3297	8478
280	3309	8468
281	3320	8455
282	3330	8438
283	3341	8424
284	3351	8409
285	3362	8393
286	3372	8378
287	3381	8359
288	3391	8344
289	3402	8329
290	3412	8315
291	3424	8302
292	3433	8285
293	3443	8268
294	3454	8254
295	3464	8239
296	3473	8221
297	3480	8199
298	3490	8183
299	3504	8176
300	3516	8166
301	3525	8149
302	3536	8134
303	3540	8104
304	3552	8093
305	3561	8077
306	3571	8061
307	3580	8045
308	3590	8029
309	3601	8016
310	3613	8005
311	3622	7988
312	3631	7970
313	3640	7952
314	3652	7941
315	3663	7930
316	3672	7913
317	3687	7907
318	3697	7894
319	3706	7877
320	3717	7864
321	3730	7855
322	3740	7839
323	3750	7825
324	3761	7811
325	3770	7795
326	3782	7785
327	3793	7772
328	3802	7755
329	3812	7741
330	3824	7730
